temp.max,temp.min,vp,dailyrain
26.2,10.1,15.3,0
23.6,13.4,17.7,1
25.5,15.3,19.7,1
29,20.9,25.8,0
20.4,14.6,19.1,8
21.3,11.4,12.5,0
29.3,16.6,22,0
28.5,18.6,21.4,10
25.8,17.6,20.5,8
20.2,4.3,8.6,0
21.9,9.2,13.6,0
27.6,13.8,18.8,0
27.4,16.9,22.3,5
27.4,16.2,22,3
20.7,15.3,16.7,5
15.6,11.3,15.7,2
16.8,7.8,12.3,0
20.9,8.5,13.2,0
21.4,10.5,7.4,0
23.5,11.7,13,0
25.1,18.3,23.2,47
24.9,18.5,22.4,3
21.6,17,20.6,3
19.7,14.7,4.1,0
25.6,12.6,17.7,1
26.1,15.1,20.7,3
31.3,16.9,25.5,14
23,13.2,18,3
18.7,8.5,9.1,8
31.3,16.6,23.8,0
23.4,14.3,14.1,13
27,17.4,20.3,2
24.2,5.6,6.3,0
23.8,9.1,12.5,0
27.1,16.8,21.6,0
26.8,16.7,20.9,6
25.7,17.3,22.9,19
20.4,15.5,16.4,1
15.7,13.3,16.7,1
18.9,4.9,12.6,0
21.6,6.6,13.1,1
22.8,4.1,12.4,0
28.4,10.5,17.3,0
27.1,18,23.3,10
25.9,18,20.8,2
23.7,16.4,20.3,19
19,1.8,4.7,3
29,15.1,20.1,0
22.8,17.5,21.5,0
28.9,19.6,26.8,4
23.4,13.8,19.8,0
20.6,7,11,0
30,17.9,21.4,0
24,13.1,15.1,0
29.1,15.6,20.9,1
21.4,8.7,9.6,0
25.7,8.2,13.5,0
32.2,16.2,20.8,0
24.6,17.4,20.7,0
27.3,17,22.6,32
20.3,14.8,18.5,2
13.1,9.3,7.4,4
13.8,5.9,7.4,5
17.8,12.8,15.8,5
17.8,9.4,4.5,14
22.4,10.1,9.8,0
27.1,18.2,23.5,0
25.9,16.5,20.9,3
24.9,16.5,21.5,0
20.4,6.5,8.8,7
27.8,18.3,23.1,1
27.4,19.1,22.3,22
29,19.6,20.5,9
28.5,19.9,26.8,1
24.6,16.8,19.8,0
28.7,13.2,18.1,0
31.9,17.7,19.9,0
27.2,18,19.8,6
23.9,8.2,11.6,0
30.2,15.8,14.6,0
34,18.5,22.7,0
31.4,19,23,8
30.7,17.6,23,0
21.8,16,10.9,0
17.4,4.9,9.4,0
17.3,0.3,7.1,0
19,8.3,7.7,0
19.1,7.4,11.9,0
23.4,12.7,14.8,0
28.5,17.3,19.9,0
26.2,18.8,19.9,6
26.4,17.7,22.7,6
20.1,7.3,8.7,0
24.9,20,22.3,1
27.7,18.8,22.5,2
30,18.8,20.1,2
30.6,20.5,24.6,7
24.1,17.4,19.3,0
33.4,19.1,17.3,0
31.1,18.7,17.5,0
28.1,17.7,19.3,4
28.3,7,12.9,0
26.7,15.3,14.2,0
26.2,21,22.1,3
30.5,22.2,26.9,0
28.2,18.5,24.1,0
23.4,15.4,13.8,0
20.1,8.3,11,1
17.3,3.8,10.5,0
20.5,5.4,9.3,0
20,10.6,11.4,0
24.8,16.3,15.9,0
28.5,19.1,20.1,0
25.1,17.4,20.6,20
28.3,17.4,22.2,1
22.4,6,9.7,3
27.2,16,21,0
28.8,19.7,22,2
30.4,19.4,20.7,4
27.7,20.7,25.8,35
25,16.2,17.5,2
28.6,17.1,14.7,0
31.6,16.9,19.4,4
28.4,17.1,20.3,0
23.5,10.3,15.8,2
26,14.1,15.5,0
31,18.4,22.2,0
31.2,22,26.2,5
25.6,20.6,23.8,0
24.2,14.5,16.1,0
21.7,6.8,11.1,0
16,7.2,11.7,0
22,11.7,10.2,0
20.4,7,12,0
30.4,15.6,19.5,0
23.6,18.5,21.8,0
26.8,15.4,20.2,53
19.6,17.3,20.1,0
23.2,7,8.7,0
26,16.4,18.4,0
24.5,14.8,14.8,10
30.5,18.8,23.5,0
31,20.8,25.2,7
22.3,6,10.2,0
29.4,11.6,7,0
28.4,20.8,20.9,0
35.5,19.3,24.6,0
27.1,8,9.8,0
28.1,10.1,15.2,0
34.3,18.8,23.3,0
26.8,19.1,22.8,10
28.5,18.7,24.3,0
22.5,17.3,19.8,8
15.7,10.5,8.2,3
20.5,6.7,13.4,0
20.1,14.2,16.8,10
20.9,12,4.7,0
23.3,12.4,11.1,0
26.2,19.8,24.5,81
27.8,18.2,23.2,0
20.7,16.1,16.9,0
20.4,4.6,6.5,0
30.6,17.5,21.3,1
24.5,14.1,17.2,10
31.3,19.8,24.3,0
28.2,21,26.3,2
17.4,11.3,13.7,4
29.9,13.1,12.1,0
27.8,21,22.3,0
36.1,22.1,25.8,0
27.8,7.3,9.2,0
28.8,11.6,14.4,0
32.6,20.6,25,3
27.7,18.4,24.2,39
27.8,18.3,21.9,1
27,17.7,20.4,1
14.2,7,9,0
16.6,7.4,8.1,3
19.3,8.7,9.8,3
19.7,2.2,5.6,0
26.1,13.6,16.7,0
28.5,19.3,24.7,7
27.4,19.7,24.4,2
20.6,16.5,19.9,0
20.5,4.7,8.2,0
29,17,22.1,0
23.9,13.8,15.9,11
31.6,19,23.9,0
22.6,18.7,21.2,36
19,10.6,14.1,12
28.2,13.3,15.4,0
29.3,19.7,22.4,0
25.3,22.7,20.9,2
24.3,8.4,12,0
30.6,16.1,15,0
31.1,18.2,24.7,11
30.1,19.7,26.4,11
30.8,17.7,23.1,0
21.8,16.4,11,0
17.5,5.2,9.5,0
17.4,0.5,7.1,0
19.2,8.4,7.8,0
19.2,7.7,12,0
24.9,16.5,16,0
28,20.3,25.1,0
26.4,19,19.9,6
24.2,17,21.9,0